「っ！！　…………ほ、本気か？　%ANAME(MASTER)%……」	「！！…………这是...真的吗？%ANAME(MASTER)%……」
こんな事、遊びでは口にしない。本気だと伝えると、%ANAME(TARGET)%は感極まった様子で%ANAME(MASTER)%を抱きしめた	这种事情，是不能开玩笑的呢，于是告诉她是认真的，%ANAME(TARGET)%感慨万千地抱住了%ANAME(MASTER)%露出了笑容
「…嬉しいぞ、%ANAME(MASTER)%…お前からその言葉を聞けて…っ」	「…真开心呢、%ANAME(MASTER)%…从你那收到了告白…」
%ANAME(MASTER)%を強く抱きしめる%ANAME(TARGET)%の目には、うっすらと涙が浮かんでいた	%ANAME(MASTER)%紧紧地抱住了眼眸通红、潸然泪下的%ANAME(TARGET)%
「%ANAME(MASTER)%…、私もお前のことが、好きだ。…これからも私と一緒にいておくれ…♥」	「%ANAME(MASTER)%、我也喜欢你。今后也请和我在一起吧…♥	」
%ANAME(TARGET)%は満面の笑みを見せ、%ANAME(MASTER)%の唇を激しく奪った…	%ANAME(TARGET)%满面笑容，激动地夺走了%ANAME(MASTER)%的嘴唇…
少しの静寂の後、%ANAME(TARGET)%は口を開く。その頬はやや赤くなっていた	少时的寂静后、%ANAME(TARGET)%开了口。那双脸颊染上了绯红
「その気持ち、受け止めよう。…私もその…お前のことは、嫌いじゃ…ないぞ…」	「这份心情...我接受了。…我也是…那个...对你、讨厌什么的…并没有啊…」
%ANAME(TARGET)%はそう言うと、%ANAME(MASTER)%を優しく抱きしめる	%ANAME(TARGET)%这样说着，温柔地抱住了%ANAME(MASTER)%
%ANAME(MASTER)%もまた%ANAME(TARGET)%の抱擁に応えて腕を背に回して抱き合い、やがて熱い口付けをかわした…	%ANAME(MASTER)%也回应了%ANAME(TARGET)%的拥抱，两人相拥而吻…
「……すまない。気持ちは嬉しいが、今はまだそういう気持ちになれないんだ」	「……对不起，然很高兴，但是现在还没有那种心情谈恋爱」
%ANAME(TARGET)%はしばし悩んだ後、そう言った	%ANAME(TARGET)%烦恼了一会后，这样说道
「…もう少し%ANAME(MASTER)%のことを見極めさせてくれ。そうしたら、答えも変わってくるかもしれない…」	「…再让我多了解%ANAME(MASTER)%一段时间。那样的话，答案会改变也不一定…」
「あ、こ、こら…だめだってぇ……」	「啊，这个，这样子…不行啊……」
%ANAME(TARGET)%は酔いが回って%ANAME(MASTER)%を拒みきれないようだ	%ANAME(TARGET)%醉得迷糊似乎无法拒绝%ANAME(MASTER)%的请求
「あっ……私を、抱きたいのか？」	「啊……你想抱我吗？」
「…ふふっ、しょうがないやつだな%ANAME(MASTER)%は」	「…fufu、真是没办法的家伙啊，%ANAME(MASTER)%桑」
%ANAME(TARGET)%は抵抗することなく、むしろ進んで%ANAME(MASTER)%に身体を委ねている	%ANAME(TARGET)%没有抵抗，反而主动地把身体交给了%ANAME(MASTER)%
「…本当はな、%ANAME(MASTER)%が抱いてくれるのを待っていたんだぞ…♥」	「…说实话…我一直等着%ANAME(MASTER)%来抱我呢…♥」
%ANAME(TARGET)%は頬を染めて微笑みながら、%ANAME(MASTER)%の服にも手をかける	%ANAME(TARGET)%双颊带着殷红、笑着将手放在了%ANAME(MASTER)%的衣服上
「さあ、私だけ裸なんて無い話だ。%ANAME(MASTER)%の裸も見せてくれ♥」	「那么，只有我一个裸体是不公平的。让我也可看看%ANAME(MASTER)%的裸体吧♥」
「あっ……ふう、そんなに私を抱きたのか？　まったく仕方ないな…」	「啊……豁、那么想抱我吗？真是没办法啊…」
%ANAME(TARGET)%は%ANAME(MASTER)%の目の前で服を脱いでゆく	%ANAME(TARGET)%在%ANAME(MASTER)%的面前将衣服脱了下来
「どうせするならちゃんと気持ちよくしてくれよ？」	「既然要做的话，那么就好好地舒服起来吧？」
「駄目だ」	「不行」
%ANAME(MASTER)%は%ANAME(TARGET)%に腕をひねられ、投げ倒された	%ANAME(MASTER)%的手臂被%ANAME(TARGET)%扭倒
「……気持ちは察するが、もうちょっと自制しろ」	「……我能理解你的心情，但还是再克制一下吧」
「あ…もう待ちきれないか？　ふふ、待たせてしまってごめんな」	「啊…已经等不及了吗？fufu，让你久等了，对不起」
「さあ、旦那様…私の身体でいっぱい気持ちよくしてあげるからな♥」	「那么，夫君…我会用我的身体让你舒服起来的♥」
腰をくねらせながら、%ANAME(TARGET)%は妖艶に笑う	%ANAME(TARGET)%一边扭着腰、一边媚笑着
%ANAME(TARGET)%は%ANAME(MASTER)%に身体を摺り寄せながら服を脱いでいる、	%ANAME(TARGET)%一边将身体贴近%ANAME(MASTER)%一边脱下衣服
「もう%ANAME(MASTER)%に触れていないと落ち着かない身体になってしまったよ…」	「已经变成了不接触%ANAME(MASTER)%就无法安心的身体了…」
「ああ、愛しい旦那様…。今日も%ANAME(TARGET)%を、幸せにしてくださいな…♥」	「啊啊，心爱的夫君大人…。今天也请让%ANAME(TARGET)%幸福起来吧…♥」
「あっ♥……もう、そんなに私を抱きたいのか？　しょうがない旦那様だ♥」	「啊♥……已经、这么想抱我了嘛？真是没办法的夫君大人啊♥」
%ANAME(TARGET)%はそう言うと服を脱ぎ、蕩けた表情で%ANAME(MASTER)%に抱きついた	%ANAME(TARGET)%这样说着一脸妩媚脱下衣服抱住了%ANAME(MASTER)%
「まぁ、そう言いつつ私も%ANAME(MASTER)%に抱かれたくてたまらないんだがな♥」	「嘛、虽然是这么说，但我也很想被%ANAME(MASTER)%所抱呢♥」
「さあ、%ANAME(MASTER)%…今夜は燃え上がろうか♥」	「那么、%ANAME(MASTER)%…享受今宵的欢腾吧♥」
「あっ…もう我慢できないか？　ふふっ、私もだよ%ANAME(MASTER)%♥」	「啊…已经忍耐不住了吗？fufu~，我也是哦%ANAME(MASTER)%♥」
%ANAME(TARGET)%は自ら服をはだけて、%ANAME(MASTER)%の身体に自慢の尻尾を絡めてきた	%ANAME(TARGET)%一边脱着衣服一边用引以为傲的尾巴缠绕着%ANAME(MASTER)%的身体
