「……私に何か？」	「嗯？谁在呼唤我？」
捕虜用にあてがわれた部屋にて、九本の大きな尻尾を持った美女が%ANAME(MASTER)%の呼びかけに応える	在被俘用的房间里，有九条大尾巴的美女回应了%ANAME(MASTER)%的召唤
―――――　すきま妖怪の式　『%NAME_FORMAL(TARGET)%』　―――――	———— 隙间妖怪之式神 "%NAME_FORMAL(TARGET)%"————
―――――　珍しい動物　『%NAME_FORMAL(TARGET)%』　―――――	—————— 传说中妖怪 "%NAME_FORMAL(TARGET)%"——————
―――――　策士の九尾　『%NAME_FORMAL(TARGET)%』　―――――	―――　策士の九尾　《%NAME_FORMAL(TARGET)%》————
%ANAME(MASTER)%はその美貌にしばし見とれる	%ANAME(MASTER)%被她的美貌所惑而一时出神
肌の露出がまるで無いにも拘らず色気を放つ肉体と、艶々な毛並みの尻尾が視線を釘付けにする…	虽然完全没有露出皮肤，但却被散发着魅力的肉体和艳丽毛发的尾巴吸引了视线…
「…まぁ、そういう目線には慣れております。それで、私に何か用ですか？」	「……嘛，我已经习惯了这种视线。那么，你想让我做什么？」
視線がどこに向かったか、お見通しのようだ	视线朝着哪里看去了，好像在预料之中
誤魔化しの咳払いの後%ANAME(MASTER)%は、この乱世を鎮めるため我が軍に力を貸して欲しい、と伝えた	心虚的咳嗽之后%ANAME(MASTER)%说，为了平定这个乱世，希望借助其力量。
「……私を牢に繋がず、この扱いをするのはそういうことでしたか」	「……不把我关在牢狱里，就是有求于我吗」
「ですが、そう易々と宗旨替えするわけにはいきません。私にも誇りはありますので……」	「但是，不能那么轻易地改变宗旨。我也有自豪感……」
……やはりそう簡単には行かないようだ	……看来还是不那么容易说服呢
しかし彼女を諦めるというのもあまりに惜しい。根気強く交流を続けて心変わりを願おう	但是放弃她也太可惜了。请耐心地继续交流，以期其能改变心意
「…諦めるつもりは無いようですね……、はあ……」	「…好像没有放弃的打算呢……啊……」
「…どれくらいの付き合いになるか分かりませんが、とりあえずはよろしく、%ANAME(MASTER)%殿」	「…虽然不知道会发生多少交集，总之请多关照，%ANAME(MASTER)%大人」
「ん？　私に用か？」	「嗯？你找我吗？」
「ん？　私ですか？」	「嗯？叫我吗？」
九本の大きな尻尾を持った美女が%ANAME(MASTER)%の呼びかけに応えて振り向く	有九只大尾巴的美女响应%ANAME(MASTER)%的召唤而回头
「えーと、君は確か…%ANAME(MASTER)%だったかな？」	「嗯…你是那个…是%ANAME(MASTER)%吗？」
直接の面識は無くとも、部下である%ANAME(MASTER)%の顔と名前は覚えられているようだ	即使没有相识，作为部下的%ANAME(MASTER)%的脸和名字也能记住
問いに肯定を返した%ANAME(MASTER)%は、君主である%ANAME(TARGET)%に挨拶に伺わせていただきました、と伝えた	%ANAME(MASTER)%回答了提问的肯定后，向作为君主的%ANAME(TARGET)%传达了自己的问候
「わざわざ挨拶に？　ふむ、それは感心だ」	「特意来问候？嗯，那可有心了」
