ようやく今日の分の仕事が終わった	今天的工作终于结束了
さて体力が少し余っているな…少し身体を動かすか？	还有些体力…是稍微活动一下身体。
それとも今日はベッドで休もうか？	还是今天在床上休息？
一人で自分の戦い方を見直しながら武器を振った……	一个人一边重新审视自己的战斗方式一边挥舞武器……
%ANAME(MASTER)%はそのまま朝まで続けた	%ANAME(MASTER)%就这样一直持续到早上
皆が寝静まり始めた深夜、%ANAME(MASTER)%も寝ようとベッドに横になった	在大家开始安静入睡的深夜，%ANAME(MASTER)%也要睡了，躺在床上
%ANAME(対象)%を妻に迎えてからは必ず毎日同じベッドで寝ている	自从娶了%ANAME(対象)%为妻之后，每天都睡在同一张床上
だが隣には妻は居ない、普段なら先に床に就いている筈だが……	但是妻子没有在旁边，平时应该是最先上床的……
きっと夢の世界に行っているのだろうと考え、%ANAME(MASTER)%は蝋燭の灯を消して一人で寝ることにした	想着一定是去了梦的世界吧，%ANAME(MASTER)%就把蜡烛的熄灭，一个人先睡了
ぼんやりと蝋燭の火が部屋を照らしている……おかしい、蝋燭の火は確かに消したはずだが	烛光朦胧地照着房间……奇怪的是，蜡烛确实是被熄灭了
「ふふっ%ANAME(MASTER)%ったら、これで起きちゃうなんて眠りが浅いですねぇ良い夢見れませんよ？」	「呵呵，%ANAME(MASTER)%真的是，就这样醒了的话，这么浅的睡眠可是做不到好梦哦？」
目を覚まし声のする方へ向くと、そこには挑発的に微笑んでスカートをたくし上げた%ANAME(対象)%がベッドの傍に立っていた	睁开眼睛朝着发出声音的方向，在那里%ANAME(対象)%嘲讽般地微笑着举起裙子站在床的旁边
「…セックス好きの女って……嫌い？」	「…讨厌……渴望做爱的女人吗？」
%ANAME(対象)%は%ANAME(MASTER)%の頬に手を当てて耳元でそう囁いた	%ANAME(対象)%用手抚摸着%ANAME(MASTER)%的脸颊，在耳边轻声说到
%ANAME(MASTER)%は頬に当てられた手に自らの手を重ね、自身の思いを伝えた	%ANAME(MASTER)%将自己的手放在正抚摸自己脸颊上的手上，传达了自己的想法
「……じゃあ…いいよね」	「……那么…开始吧吧」
表情を変える事無く%ANAME(対象)%は手を離し、寝そべる%ANAME(MASTER)%の上に立つ	面色不变的%ANAME(対象)%松开手，站在睡着的%ANAME(MASTER)%上
