%ANAME(対象)%の元を訪れると、サンタ帽を被った青髪でショートヘアーの女性が居た	拜访了%ANAME(対象)%，看到一位戴着圣诞帽的蓝色短发的女性。
部屋の主が%ANAME(MASTER)%に気付くと声を掛けてくる	屋主一看到%ANAME(MASTER)%，就打了招呼
「誰かと思いきや噂の%ANAME(MASTER)%じゃないの」	「我还以为是谁，这不是传闻中的%ANAME(MASTER)%」
「現し世で会うのは初めてかしら？」	「这是第一次在现实世界见面吗？」
黒いポンチョと白黒の玉房状の飾り（ポンポン）が沢山ついているエプロンつきの服を着た女性が近づいてくる	身穿黑色雨披和围裙，围裙上有许多黑白绒球的女子走近。
「私は獏（バク）夢の世界の住人です」	「我是貘（BaKu）梦的世界的居民」
「今は現し世だから生身ですけどもね」	「不过现在是在现实世界，所以是有肉身的」
自己紹介をする%ANAME(MASTER)%に%ANAME(対象)%が続けてしゃべり続ける	%ANAME(対象)%继续对%ANAME(MASTER)%自我介绍着
「ところで最近は随分と寝不足のようですね」	「对了，你最近好像睡眠不足呢」
「寝る寝ないの自由に口を出すつもりはありませんが寝不足は体に毒ですよ」	「我不是想干涉你睡与不睡的自由，但睡眠不足对身体有害」
「ははぁん…もしや私に見られたくない夢でも？」	「哈哈…难道是有什么不想让我看到的梦？」
「んー？違ったの？…まあどうでも良いわね」	「嗯？不是吗？…算了，无所谓了」
「これからは現し世で行動を共にする身。宜しく」	「今后是在现实生活中共同行动的人。请多关照」
そう言うと、%ANAME(対象)%は手を差し伸べてきた	这样说着，%ANAME(対象)%伸出了手
夢の世界を含め混乱を極めた現状、彼女は混乱しつつある全ての夢を再度監視する為に貴方と手を組む	包括梦的世界在内极其混乱的现状，她为了再次监视陷入混乱的所有梦而与你联手
確かにこれから乱世を統治するうえで夢の世界も例外ではない、彼女とは利害が一致するようだ	确实，在今后统治乱世的基础上，梦的世界也不能例外，和她利害是一致
%ANAME(MASTER)%は差し出された手を握り返した	%ANAME(MASTER)%握住了伸出的手
「それとお一つお耳に入れたいことが…」	「还有一件事想告诉你…」
そこで突如ぐいと手を引っ張られ、お互いの顔に息が掛かりそうな程に顔を引き寄せられる	突然被人拉了一把手，两个人的脸几乎都要贴在一起了
「ただし…、下手な事をすれば貴方の夢におけるプライバシーは保障しませんよ」	「但是…如果做了不好的事情，就不能保障你梦中的隐私哦」
